t Grid_power Battery_power Battery_SOC Load_power 
0.0 3.8237896403487674 -3.8237896403487674 0.8 0 
0.0006944444444444445 2.875526735200671 -4.872758620533533 0.8012745965467829 1.9972318853328621 
0.001388888888888889 2.8365337315469983 -4.790731057928467 0.802898849420294 1.954197326381469 
0.0020833333333333333 2.802012667826632 -4.710231405303073 0.8044957597729369 1.908218737476441 
0.002777777777777778 2.7711588254543607 -4.630452599331626 0.8060658369080379 1.8592937738772657 
0.003472222222222222 2.7443246156520105 -4.551749426416234 0.8076093211078151 1.8074248107642235 
0.004166666666666667 2.721146609594245 -4.473765562609155 0.8091265709166205 1.75261895301491 
0.004861111111111111 2.7013868095080484 -4.396274846380038 0.8106178261041569 1.6948880368719899 
0.005555555555555556 2.685219016500552 -4.319467639997529 0.8120832510529503 1.6342486234969773 
0.00625 2.6720951948250713 -4.242817179243779 0.8135230735996162 1.5707219844187081 
0.006944444444444444 2.662371387768255 -4.1667054666674135 0.8149373459926974 1.5043340788991586 
0.007638888888888889 2.655250502381189 -4.090366025634275 0.8163262478149198 1.4351155232530854 
0.008333333333333333 2.6512166140207514 -4.014318166192603 0.8176897031567979 1.363101552171852 
0.009027777777777777 2.6497111375656717 -3.9380431096811424 0.8190278092121954 1.288331972115471 
0.009722222222222222 2.6505820469745904 -3.8614331538251854 0.8203404902487559 1.2108511068505952 
0.010416666666666666 2.653999746811858 -3.784707482037468 0.8216276346333642 1.1307077352256103 
0.011111111111111112 2.6592699605011467 -3.7072249817885203 0.8228892037940433 1.0479550212873736 
0.011805555555555555 2.6666531152473074 -3.6293035521045933 0.8241249454546394 0.962650436857286 
0.0125 2.675774594342734 -3.550630271040043 0.825334713305341 0.874855676697309 
0.013194444444444444 2.6862297110730364 -3.4708662774823917 0.826518256729021 0.7846365664093554 
0.013888888888888888 2.6983610427356206 -3.3904240059594666 0.8276752121548485 0.6920629632238459 
0.014583333333333334 2.7115240290206977 -3.308732678866261 0.8288053534901683 0.5972086498455635 
0.015277777777777777 2.725460830476408 -3.225612052013199 0.8299082643831237 0.500151221536791 
0.01597222222222222 2.740470064478481 -3.14144203110786 0.8309834684004614 0.40097196662937906 
0.016666666666666666 2.75585313176149 -3.0556088724301276 0.8320306157441641 0.2997557406686375 
0.017361111111111112 2.7712465530195054 -2.9678373874224957 0.8330491520349742 0.1965908344029903 
0.018055555555555554 2.7869169516463317 -2.8784857874900815 0.8340384311641149 0.09156883584374975 
0.01875 2.8024289892834178 -2.7872134759131586 0.8349979264266116 -0.01521551337025906 
0.019444444444444445 2.8173980352254078 -2.693733568166562 0.8359269975852492 -0.12366446705884548 
0.02013888888888889 2.831443707902994 -2.597766279119423 0.8368249087746382 -0.23367742878357112 
0.020833333333333332 2.8448237250775774 -2.4996726140125403 0.837690830867678 -0.3451511110650374 
0.021527777777777778 2.8569545179345557 -2.3989748186713498 0.838524055072349 -0.4579796992632057 
0.022222222222222223 2.8672562808849738 -2.2952012610435175 0.8393237133452394 -0.5720550198414562 
0.022916666666666665 2.8757984919003823 -2.188531779172781 0.8400887804322538 -0.6872667127276011 
0.02361111111111111 2.8825476460198454 -2.079045238541777 0.8408182910253115 -0.8035024074780686 
0.024305555555555556 2.8865891751205615 -1.9659412721757124 0.8415113061048254 -0.9206479029448493 
0.025 2.8880110727321906 -1.8494237225933903 0.8421666198622172 -1.0385873501388003 
0.025694444444444443 2.8862734371879086 -1.729069999210439 0.8427830944364151 -1.1572034379774696 
0.02638888888888889 2.881098818459097 -1.604721236858604 0.8433594511028185 -1.2763775816004932 
0.027083333333333334 2.8725799880981393 -1.4765898751667736 0.8438943581817715 -1.3959901129313654 
0.027777777777777776 2.8596799488722366 -1.3437594757118605 0.8443865548068271 -1.5159204731603761 
0.02847222222222222 2.8425655546079547 -1.2065181477877216 0.8448344746320644 -1.6360474068202329 
0.029166666666666667 2.94058126525364 -1.1843321081304066 0.8452366473479936 -1.7562491571232333 
0.029861111111111113 3.050168946532989 -1.1737652843064883 0.8456314247173705 -1.8764036622265008 
0.030555555555555555 3.157568187493438 -1.1611794354030756 0.8460226798121394 -1.9963887520903625 
0.03125 3.2624588415388556 -1.1463764959450706 0.8464097396239404 -2.1160823455937847 
0.03194444444444444 3.365155916604552 -1.1297932690341328 0.8467918651225887 -2.2353626475704194 
0.03263888888888889 3.465288235787168 -1.1111798903583165 0.8471684628789334 -2.3541083454288514 
0.03333333333333333 3.5629439057087215 -1.0907451006872653 0.8475388561757196 -2.4721988050214563 
0.034027777777777775 3.658055610550574 -1.0685413451231602 0.8479024378759487 -2.5895142654274137 
0.034722222222222224 3.7503553527898803 -1.0444193204724952 0.8482586183243229 -2.705936032317385 
0.035416666666666666 3.8401159274625773 -1.0187692578928509 0.8486067580978138 -2.8213466695697265 
0.03611111111111111 3.927111848826061 -0.9914816600149327 0.8489463478504448 -2.9356301888111282 
0.03680555555555556 4.011309957832924 -0.9626377212748403 0.8492768417371164 -3.0486722365580836 
0.0375 4.092876601485585 -0.9325163228458327 0.8495977209775414 -3.160360278639752 
0.03819444444444445 4.171663967792735 -0.9010801862053567 0.8499085597518232 -3.270583781587379 
0.03888888888888889 4.247678645878596 -0.8684442551979259 0.8502089198138917 -3.379234390680669 
0.03958333333333333 4.321060788156631 -0.834854683809411 0.850498401232291 -3.4862061043472194 
0.04027777777777778 4.39177031489772 -0.8003748702803603 0.8507766861268942 -3.5913954446173593 
0.04097222222222222 4.459687627369064 -0.7649860040255355 0.851043477750321 -3.694701623343529 
